location,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E,41.6°N 143.01°E
20171201T1200,-0.59,78.0,1020.4,0.0,0.0,100.0,0.0,0.0,100.0,29.60398,285.6621,44.109917,285.62424,46.40091,279.82773,59.04987,271.04797,159.0,1412.0,-3.69,-15.49
20171201T1300,-0.8,80.0,1020.8,0.0,0.0,100.0,0.0,0.0,100.0,28.895498,288.2679,43.037693,287.52557,46.40091,279.82773,59.40109,270.34723,162.0,1414.0,-3.93,-15.68
20171201T1400,-1.14,83.0,1021.2,0.0,0.0,100.0,0.0,0.0,100.0,25.509104,294.69156,37.39324,293.85046,41.66679,279.95062,55.818577,271.47827,165.0,1417.0,-4.25,-15.75
20171201T1500,-1.44,85.0,1021.6,0.2,0.14,100.0,0.0,0.0,100.0,22.700344,305.9285,31.89608,306.74057,36.691753,285.9454,47.88541,270.8615,168.0,1419.0,-4.46,-15.96
20171201T1600,-1.42,86.0,1022.2,0.4,0.28,100.0,0.0,0.0,100.0,22.644,298.07248,31.749468,299.18082,37.457306,283.9027,45.00144,270.45837,172.0,1423.0,-4.49,-16.02
20171201T1700,-1.43,85.0,1022.6,0.4,0.28,100.0,0.0,0.0,100.0,23.113943,295.97443,33.168877,295.7307,36.7588,284.17236,43.205997,269.04517,175.0,1426.0,-4.53,-16.0
20171201T1800,-1.46,84.0,1022.7,0.3,0.21000001,100.0,0.0,0.0,100.0,22.112804,291.9296,32.15507,291.6823,35.33506,278.79053,43.237484,267.61407,176.0,1427.0,-4.51,-15.94
20171201T1900,-1.3,84.0,1022.8,0.3,0.21000001,100.0,0.0,0.0,100.0,21.408352,286.63095,31.450073,285.9454,35.428463,275.24713,45.012955,268.62518,177.0,1429.0,-4.36,-15.8
20171201T2000,-1.08,82.0,1023.1,0.3,0.21000001,100.0,0.0,0.0,100.0,22.644,278.79742,33.50128,278.65253,37.441727,270.5509,49.32,270.0,179.0,1431.0,-4.17,-15.66
20171201T2100,-0.79,81.0,1023.5,0.2,0.14,100.0,0.0,0.0,100.0,24.278967,273.14496,34.94968,272.3614,38.90666,267.8789,49.69174,271.24536,183.0,1436.0,-3.97,-15.5
20171201T2200,-0.68,83.0,1023.7,0.3,0.21000001,100.0,0.0,0.0,100.0,25.358425,273.6139,37.16553,273.8879,41.039997,270.0,50.401283,270.40924,185.0,1438.0,-3.94,-15.48
20171201T2300,-0.72,82.0,1024.4,0.3,0.21000001,100.0,0.0,0.0,100.0,25.358425,273.6139,36.78347,273.36646,42.48,270.0,50.045174,270.82434,189.0,1442.0,-4.03,-15.43
20171202T0000,-0.49,75.0,1024.9,0.1,0.07,70.0,0.0,0.0,70.0,23.17833,270.65854,33.12,270.0,42.126152,269.0207,57.587624,278.99124,194.0,1448.0,-3.72,-15.14
20171202T0100,0.11,72.0,1024.4,0.0,0.0,57.0,0.0,0.0,57.0,23.48101,266.74805,34.627434,266.42368,43.273434,266.66153,64.456085,271.28015,191.0,1448.0,-3.06,-14.65
20171202T0200,0.57,74.0,1023.6,0.0,0.0,100.0,0.0,0.0,100.0,24.001146,261.06042,36.102455,260.81946,47.820415,260.46677,72.71732,264.31763,185.0,1446.0,-2.46,-13.66
20171202T0300,1.2,82.0,1022.9,0.2,0.14,100.0,0.0,0.0,100.0,25.151884,241.53485,37.06427,240.9454,48.791622,242.30052,67.3508,254.18082,180.0,1445.0,-1.77,-12.71
20171202T0400,1.74,86.0,1023.0,0.4,0.28,100.0,0.0,0.0,100.0,29.790379,242.28918,44.757427,243.22885,60.379204,253.72614,78.596344,263.68878,180.0,1448.0,-1.3,-12.37
20171202T0500,2.51,73.0,1023.1,0.1,0.0,74.0,0.0,0.0,74.0,35.47924,259.6182,53.74138,259.9698,65.91441,263.72894,85.02176,267.81604,182.0,1451.0,-0.57,-12.31
20171202T0600,2.54,73.0,1023.3,0.0,0.0,64.0,0.0,0.0,64.0,36.53178,272.5077,54.777996,272.63675,62.641033,269.67072,82.9759,266.26862,183.0,1452.0,-0.61,-12.2
20171202T0700,2.14,75.0,1024.0,0.0,0.0,64.0,0.0,0.0,64.0,33.307457,277.3524,48.983818,277.17725,61.204235,270.67404,83.53629,264.5597,189.0,1457.0,-1.01,-12.23
20171202T0800,2.0,75.0,1024.6,0.0,0.0,10.0,0.0,0.0,10.0,31.423908,277.30576,46.79584,277.07034,60.85704,271.35587,82.06895,264.71457,194.0,1461.0,-1.18,-12.04
20171202T0900,2.29,73.0,1025.2,0.0,0.0,11.0,0.0,0.0,11.0,31.360611,276.34018,47.070602,276.14664,56.524582,270.72986,72.230034,265.4261,198.0,1467.0,-0.89,-12.12
20171202T1000,2.32,73.0,1025.8,0.0,0.0,18.0,0.0,0.0,18.0,30.525766,279.54453,45.275635,279.61212,53.683468,272.30597,63.462185,266.74805,203.0,1471.0,-0.92,-12.01
20171202T1100,2.28,72.0,1026.0,0.0,0.0,100.0,0.0,0.0,100.0,27.53731,282.28833,40.808823,281.70645,48.402264,274.69287,57.61012,268.92584,204.0,1472.0,-0.9,-12.07
20171202T1200,2.57,73.0,1025.8,0.0,0.0,100.0,0.0,0.0,100.0,21.99535,281.17383,31.491255,280.53918,43.92,270.0,62.70617,267.36755,203.0,1474.0,-0.36,-11.49
20171202T1300,2.66,71.0,1025.8,0.0,0.0,100.0,0.0,0.0,100.0,18.273174,277.53946,26.478973,277.0284,38.939953,266.8202,58.927937,264.7422,203.0,1476.0,-0.16,-11.3
20171202T1400,2.77,69.0,1025.8,0.0,0.0,61.0,0.0,0.0,61.0,15.453498,270.98776,21.96,270.0,35.33506,261.20947,56.767105,261.61298,203.0,1477.0,0.05,-11.07
20171202T1500,2.85,66.0,1025.7,0.0,0.0,10.0,0.0,0.0,10.0,12.658905,261.52887,18.289274,259.79602,32.396,255.19164,53.65812,258.38852,203.0,1478.0,0.3,-10.76
20171202T1600,3.13,65.0,1025.6,0.0,0.0,99.0,0.0,0.0,99.0,12.271761,242.8787,17.727943,240.83238,29.301876,243.74977,49.184483,250.76932,203.0,1479.0,0.62,-10.58
20171202T1700,3.53,66.0,1025.3,0.0,0.0,100.0,0.0,0.0,100.0,14.2791395,216.65611,20.808498,217.2664,27.841293,220.27986,43.53619,240.25513,200.0,1478.0,1.04,-10.35
20171202T1800,3.55,73.0,1024.5,0.0,0.0,100.0,0.0,0.0,100.0,17.640831,194.87569,25.671307,194.62088,32.55363,212.81137,42.035297,241.89865,194.0,1474.0,1.05,-9.66
20171202T1900,3.98,80.0,1024.0,0.0,0.0,100.0,0.0,0.0,100.0,21.10621,184.34325,31.012281,183.32741,38.692883,225.0,46.60853,246.8014,190.0,1472.0,1.35,-9.3
20171202T2000,4.27,80.0,1023.1,0.0,0.0,100.0,0.0,0.0,100.0,22.21367,185.50548,32.59939,186.3402,45.451336,220.50285,46.296055,233.21921,183.0,1470.0,1.7,-7.79
20171202T2100,4.14,86.0,1022.2,0.0,0.0,100.0,0.0,0.0,100.0,23.723066,178.06941,34.966362,177.04922,52.675762,204.6384,39.28456,221.28471,176.0,1464.0,1.61,-6.86
20171202T2200,4.57,89.0,1021.4,0.0,0.0,100.0,0.0,0.0,100.0,26.331858,168.91743,38.97322,168.27489,54.792187,209.09117,48.89908,226.78992,171.0,1461.0,2.12,-6.16
20171202T2300,5.79,88.0,1020.5,0.0,0.0,100.0,0.0,0.0,100.0,26.800688,173.7227,39.834938,173.77417,53.017864,231.3402,62.02247,234.92625,164.0,1460.0,3.58,-5.92
20171203T0000,7.02,77.0,1020.1,0.2,0.0,83.0,0.0,0.0,83.0,29.483873,212.82855,45.332848,214.32106,70.563675,241.3429,68.59677,244.5108,162.0,1462.0,4.98,-5.5
20171203T0100,7.3,78.0,1019.7,0.2,0.0,100.0,0.0,0.0,100.0,34.096077,224.68346,52.69421,225.2768,67.20535,249.62357,66.377785,250.68063,159.0,1459.0,5.28,-5.32
20171203T0200,7.26,78.0,1019.4,0.4,0.0,100.0,0.0,3.0,100.0,30.978094,238.36021,47.477707,238.96175,58.86523,252.56236,66.11662,248.60413,157.0,1456.0,5.28,-5.32
20171203T0300,7.19,78.0,1019.0,0.5,0.0,100.0,0.0,5.0,100.0,25.747252,241.5788,38.49981,241.51782,51.15168,249.39676,57.896236,248.86018,153.0,1453.0,5.27,-5.28
20171203T0400,7.28,79.0,1018.5,0.5,0.0,100.0,0.0,86.0,100.0,23.230324,233.39293,34.417206,232.65065,47.521366,241.49347,55.061172,243.60248,149.0,1450.0,5.45,-5.03
20171203T0500,7.63,77.0,1018.2,0.6,0.0,100.0,0.0,31.0,100.0,23.298962,231.03326,35.364388,231.61346,50.051655,234.36652,54.815834,236.51866,148.0,1450.0,5.86,-4.74
20171203T0600,7.99,75.0,1017.8,0.3,0.0,88.0,0.0,0.0,88.0,25.586885,231.3402,39.413013,230.93152,56.93124,229.3594,66.299644,236.74136,144.0,1448.0,6.32,-4.61
20171203T0700,8.22,73.0,1017.5,0.2,0.0,54.0,0.0,0.0,54.0,31.4961,231.87,49.477413,231.79594,65.243484,234.20506,71.8306,241.89374,142.0,1447.0,6.56,-4.35
20171203T0800,8.27,73.0,1017.6,0.1,0.0,100.0,0.0,0.0,100.0,34.87704,235.58163,55.418957,235.58733,66.19793,241.76256,72.55675,249.67686,143.0,1448.0,6.61,-4.39
20171203T0900,8.23,73.0,1017.8,0.1,0.0,52.0,0.0,0.0,52.0,33.741432,241.20903,52.836666,241.51418,64.9129,247.84456,68.2416,253.76398,145.0,1449.0,6.54,-4.42
20171203T1000,8.06,74.0,1017.8,0.0,0.0,75.0,0.0,0.0,75.0,30.720436,248.10632,47.197083,248.52321,57.640484,249.52771,63.44687,253.51874,144.0,1448.0,6.35,-4.6
20171203T1100,7.51,78.0,1017.8,0.2,0.0,64.0,0.0,0.0,64.0,26.674608,261.38434,40.12668,260.7067,53.557785,247.05426,60.253506,249.72443,144.0,1446.0,5.7,-4.68
20171203T1200,8.28,72.0,1016.6,0.0,0.0,10.0,0.0,0.0,10.0,23.949345,244.29004,35.75436,244.98312,52.502018,249.94977,57.97677,255.61862,134.0,1439.0,6.53,-4.3
20171203T1300,8.16,73.0,1016.5,0.0,0.0,10.0,0.0,0.0,10.0,25.53691,249.86371,38.26175,250.20113,51.68477,251.31265,56.32821,254.80911,133.0,1438.0,6.39,-4.54
20171203T1400,7.86,73.0,1016.4,0.0,0.0,70.0,0.0,0.0,70.0,24.399971,259.3035,35.80688,260.15887,50.045174,254.56415,58.674477,255.79324,133.0,1436.0,6.07,-4.73
20171203T1500,7.48,73.0,1016.5,0.0,0.0,52.0,0.0,0.0,52.0,22.916595,271.3322,33.857227,271.82797,45.755417,259.5742,56.404083,255.96376,134.0,1435.0,5.64,-5.03
20171203T1600,7.03,75.0,1017.4,0.0,0.0,100.0,0.0,0.0,100.0,22.469383,280.24408,33.326748,280.58163,45.414253,262.2553,56.867466,254.20407,140.0,1439.0,5.07,-5.68
20171203T1700,6.25,76.0,1018.0,0.0,0.0,100.0,0.0,0.0,100.0,20.253408,296.56506,29.62518,295.94232,41.065254,267.99045,53.2654,260.665,145.0,1439.0,4.19,-5.97
20171203T1800,5.11,76.0,1018.8,0.0,0.0,1.0,0.0,0.0,1.0,19.287802,302.5926,27.971327,301.84906,47.95978,262.23483,57.329365,258.40784,150.0,1441.0,2.92,-6.58
20171203T1900,4.7,74.0,1019.1,0.0,0.0,0.0,0.0,0.0,0.0,18.587008,297.29956,26.886963,296.222,48.502567,264.03552,59.247074,259.85086,153.0,1442.0,2.49,-6.79
20171203T2000,4.46,73.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,16.32882,303.69006,23.0653,304.18613,47.297203,261.68488,59.35635,264.08194,152.0,1439.0,2.31,-7.24
20171203T2100,4.04,73.0,1019.0,0.0,0.0,0.0,0.0,0.0,0.0,15.636112,315.69028,22.148046,315.65854,43.582306,262.40536,63.12433,266.4033,151.0,1437.0,1.88,-7.59
20171203T2200,3.47,74.0,1019.1,0.0,0.0,28.0,0.0,28.0,0.0,16.698414,326.0564,23.86341,326.07022,40.121838,264.8521,57.852566,264.6442,152.0,1435.0,1.21,-7.67
20171203T2300,3.09,73.0,1019.2,0.0,0.0,6.0,0.0,6.0,0.0,16.800106,332.6223,23.188583,332.24146,38.60234,266.25702,53.407547,262.25223,152.0,1435.0,0.82,-7.4
20171204T0000,2.85,71.0,1019.6,0.0,0.0,100.0,1.0,100.0,0.0,15.013241,332.52557,21.2522,333.86902,38.351406,260.27243,52.38835,255.67728,155.0,1438.0,0.62,-7.12
20171204T0100,2.61,68.0,1019.4,0.0,0.0,16.0,35.0,16.0,0.0,13.713779,330.94543,19.022177,330.5241,37.37244,256.63306,54.402897,255.04416,154.0,1436.0,0.5,-7.16
20171204T0200,2.81,69.0,1019.4,0.0,0.0,18.300001,61.0,6.0,0.0,9.686122,328.49573,13.584932,327.99463,32.110706,250.34618,51.15168,249.39676,154.0,1435.0,0.45,-7.54
20171204T0300,3.31,73.0,1019.0,0.0,0.0,23.0,5.0,23.0,0.0,5.7198505,332.24146,8.217153,331.1892,27.475807,238.3925,45.150948,254.74487,151.0,1432.0,0.56,-7.89
20171204T0400,3.64,75.0,1018.4,0.0,0.0,0.0,0.0,0.0,0.0,4.3935814,345.96375,6.2145634,349.992,25.603062,242.35403,42.64443,258.31064,146.0,1428.0,0.72,-7.65
20171204T0500,3.69,74.0,1017.9,0.0,0.0,2.4,8.0,0.0,0.0,3.9603205,19.653809,5.4833565,23.198593,21.261345,241.69925,37.29086,257.17123,142.0,1426.0,0.93,-7.55
20171204T0600,3.49,72.0,1017.0,0.0,0.0,30.000002,100.0,21.0,0.0,5.8668513,50.527527,8.714677,51.70984,16.485485,238.3925,31.70658,257.54175,135.0,1419.0,1.17,-7.58
20171204T0700,3.48,70.0,1016.5,0.0,0.0,30.000002,100.0,5.0,0.0,7.996438,60.018356,11.609651,60.25511,13.004922,228.36647,26.554728,254.268,131.0,1417.0,1.48,-7.47
20171204T0800,3.58,69.0,1015.8,0.0,0.0,88.0,0.0,0.0,88.0,10.4475,70.64101,15.141414,71.995834,11.043261,199.0256,17.786331,234.05789,126.0,1414.0,1.84,-7.43
20171204T0900,4.18,70.0,1015.6,0.0,0.0,100.0,100.0,99.0,100.0,12.53213,87.56335,18.014393,87.70938,16.418526,164.74487,18.775301,184.39871,124.0,1413.0,2.46,-7.34
20171204T1000,4.81,69.0,1014.5,0.0,0.0,96.0,1.0,96.0,76.0,16.2853,86.24826,23.42491,87.35745,20.523157,142.12502,19.134262,175.68398,116.0,1408.0,3.16,-6.77
20171204T1100,5.46,71.0,1013.4,0.0,0.0,100.0,11.0,96.0,100.0,19.778296,85.36454,28.880886,85.710846,24.798225,129.69907,17.106628,171.52885,108.0,1402.0,3.74,-6.09
20171204T1200,4.29,70.0,1013.4,0.0,0.0,100.0,29.0,100.0,100.0,12.664511,75.37913,18.25026,75.14138,13.004921,85.23635,19.995398,203.33405,108.0,1396.0,2.7,-5.51
20171204T1300,4.39,73.0,1012.5,0.0,0.0,100.0,39.0,100.0,100.0,16.47593,75.96376,23.749088,75.96376,17.731598,84.17365,25.212852,223.2643,100.0,1391.0,2.85,-4.26
20171204T1400,4.47,82.0,1011.5,0.1,0.0,100.0,80.0,100.0,100.0,18.67272,75.96376,27.067116,76.148575,24.535524,75.55596,16.039202,224.09062,92.0,1383.0,2.8,-4.2
20171204T1500,3.39,93.0,1010.9,2.4,1.6800001,100.0,2.0,100.0,100.0,18.786392,71.82198,27.210379,72.2842,36.0072,78.46538,13.527572,115.20112,87.0,1376.0,1.61,-5.11
20171204T1600,2.94,94.0,1009.8,2.2,1.54,100.0,0.0,100.0,100.0,21.218554,51.115494,30.699368,50.71057,32.998474,83.107574,37.419224,120.01836,78.0,1368.0,1.18,-4.95
20171204T1700,2.47,95.0,1008.2,1.7,1.19,100.0,0.0,100.0,100.0,26.64,36.86989,38.59227,36.656097,35.230373,78.80489,53.49847,118.979706,65.0,1355.0,0.77,-4.18
20171204T1800,2.2,95.0,1006.7,1.3,0.90999997,100.0,0.0,100.0,100.0,29.09742,40.544388,44.635643,41.40326,46.175526,79.2157,65.243484,125.79494,53.0,1342.0,0.6,-2.41
20171204T1900,3.04,94.0,1004.6,0.5,0.35,100.0,0.0,52.0,100.0,34.76086,40.64891,52.089397,40.51538,57.64498,80.65532,56.959686,142.18854,37.0,1330.0,1.67,-0.94
20171204T2000,3.51,94.0,1002.5,0.0,0.0,100.0,0.0,100.0,100.0,38.170574,40.47116,57.402786,41.18593,65.71356,85.60129,41.003666,136.7788,20.0,1318.0,2.32,-1.02
20171204T2100,3.89,93.0,1001.4,0.0,0.0,100.0,0.0,0.0,100.0,38.276405,38.784363,57.755043,39.942734,60.993176,94.061516,28.916763,161.1139,11.0,1311.0,2.89,-1.17
20171204T2200,4.04,93.0,1000.3,0.1,0.0,100.0,0.0,0.0,100.0,35.86223,35.933487,54.15338,35.80333,50.100826,97.431404,27.56058,156.1135,2.0,1304.0,3.1,-1.47
20171204T2300,3.83,93.0,999.5,0.1,0.0,100.0,0.0,0.0,100.0,32.288296,25.930801,48.62133,26.37532,33.190357,102.52881,23.313995,193.3925,-3.0,1297.0,2.33,-2.2
20171205T0000,4.21,92.0,998.8,0.0,0.0,100.0,0.0,0.0,100.0,32.44944,12.324722,49.1634,13.120407,12.261157,139.76364,29.914679,230.371,-9.0,1293.0,2.84,-2.99
20171205T0100,4.71,87.0,997.9,0.0,0.0,100.0,0.0,0.0,100.0,29.475445,350.112,44.751637,351.67438,2.8799999,270.0,29.76484,237.84772,-17.0,1284.0,3.47,-3.74
20171205T0200,4.49,88.0,998.0,0.1,0.0,100.0,0.0,0.0,100.0,27.345932,317.76385,38.692883,315.0,31.786186,346.90814,21.829777,256.65128,-15.0,1280.0,3.19,-4.24
20171205T0300,4.22,87.0,998.6,0.2,0.0,100.0,0.0,0.0,100.0,29.37294,321.25903,41.185005,323.53076,36.94519,326.92932,27.757376,267.02628,-11.0,1281.0,2.82,-4.84
20171205T0400,3.63,92.0,999.2,0.1,0.07,100.0,0.0,0.0,100.0,33.24134,297.1811,49.267418,296.00336,41.38121,297.45673,37.254345,264.45468,-5.0,1282.0,2.02,-6.34
20171205T0500,4.55,90.0,1000.4,0.0,0.0,100.0,0.0,0.0,100.0,40.128365,302.52954,61.516823,302.57407,52.33018,297.44647,67.76038,284.77457,3.0,1291.0,3.3,-7.07
20171205T0600,4.21,83.0,1001.0,0.0,0.0,10.0,0.0,0.0,10.0,40.445454,305.88864,62.28104,306.53873,61.031414,297.7743,79.47769,289.58398,8.0,1296.0,3.24,-6.88
20171205T0700,4.06,77.0,1002.3,0.0,0.0,10.0,0.0,0.0,10.0,35.98274,297.32388,54.911507,297.74103,63.491795,294.09442,72.86777,289.33014,18.0,1307.0,3.0,-7.39
20171205T0800,4.38,70.0,1003.0,0.0,0.0,10.0,0.0,0.0,10.0,32.36513,290.22485,48.16606,289.6538,59.023533,284.121,66.11663,285.474,24.0,1311.0,3.3,-7.57
20171205T0900,4.35,70.0,1004.1,0.0,0.0,10.0,0.0,0.0,10.0,32.693474,284.14948,48.63332,284.1391,54.450516,279.89825,60.737667,278.17813,33.0,1318.0,3.17,-8.38
20171205T1000,4.0,74.0,1005.2,0.0,0.0,34.0,0.0,0.0,34.0,31.009007,278.89587,46.22882,278.5087,47.247856,273.49463,49.837578,265.44257,42.0,1325.0,2.67,-9.04
20171205T1100,3.49,82.0,1005.8,0.0,0.0,100.0,0.0,0.0,100.0,27.921213,285.49487,40.10406,286.15735,42.48,270.0,47.521362,257.75366,47.0,1327.0,2.12,-9.53
20171205T1200,2.52,73.0,1008.6,0.0,0.0,100.0,0.0,15.0,100.0,30.007568,276.1155,44.131947,275.61758,46.092655,271.34262,47.715958,264.80557,69.0,1342.0,0.73,-11.84
20171205T1300,2.13,75.0,1009.5,0.0,0.0,100.0,0.0,39.0,100.0,30.995274,274.43646,45.834656,274.05356,47.56906,272.60257,48.685257,266.60867,75.0,1346.0,0.18,-12.1
20171205T1400,1.81,74.0,1009.8,0.0,0.0,100.0,0.0,70.0,100.0,30.301758,276.56268,45.242702,275.9374,48.685257,273.39133,53.64483,269.231,78.0,1347.0,-0.17,-12.51
20171205T1500,1.83,71.0,1010.1,0.0,0.0,100.0,0.0,4.0,100.0,29.855824,272.0454,44.30341,271.8626,47.519997,270.0,52.874672,263.74597,80.0,1349.0,-0.13,-12.39
20171205T1600,1.86,76.0,1010.6,0.0,0.0,100.0,0.0,0.0,100.0,29.570402,270.0,43.56,270.0,45.475567,265.91437,53.175304,255.49336,84.0,1353.0,-0.21,-12.19
20171205T1700,1.42,78.0,1011.0,0.0,0.0,100.0,0.0,0.0,100.0,30.654526,271.9921,45.38285,271.8183,47.53227,268.69806,56.41442,259.33542,87.0,1354.0,-0.76,-12.62
20171205T1800,0.96,79.0,1011.7,0.0,0.0,100.0,0.0,0.0,100.0,33.326626,272.29062,49.700863,271.66028,51.481255,269.59933,59.74265,257.4712,93.0,1356.0,-1.43,-13.35
20171205T1900,0.46,77.0,1012.4,0.0,0.0,19.0,0.0,2.0,19.0,33.36813,273.66193,49.78554,273.7314,54.730656,271.13068,68.89557,266.405,98.0,1359.0,-2.0,-13.84
20171205T2000,0.24,75.0,1012.8,0.0,0.0,100.0,0.0,1.0,100.0,32.06221,278.60138,47.350605,278.74615,52.737232,274.69867,68.177,266.36707,101.0,1361.0,-2.22,-14.32
20171205T2100,0.3,75.0,1013.5,0.0,0.0,100.0,0.0,0.0,100.0,30.831123,276.44952,45.60079,275.89062,51.48,270.0,61.710342,262.62622,106.0,1366.0,-2.19,-14.55
20171205T2200,0.13,74.0,1013.8,0.0,0.0,63.0,0.0,0.0,63.0,30.751608,274.96973,45.14377,274.5739,48.6,270.0,62.411995,258.69006,108.0,1367.0,-2.43,-14.35
